,hdbscan_d128_min_cluster_size-10,hdbscan_d128_min_cluster_size-20,hdbscan_d128_min_cluster_size-50,hdbscan_d16_min_cluster_size-10,hdbscan_d16_min_cluster_size-20,hdbscan_d16_min_cluster_size-50,hdbscan_d256_min_cluster_size-10,hdbscan_d256_min_cluster_size-20,hdbscan_d256_min_cluster_size-50,hdbscan_d2_min_cluster_size-10,hdbscan_d2_min_cluster_size-20,hdbscan_d2_min_cluster_size-50,hdbscan_d32_min_cluster_size-10,hdbscan_d32_min_cluster_size-20,hdbscan_d32_min_cluster_size-50,hdbscan_d4_min_cluster_size-10,hdbscan_d4_min_cluster_size-20,hdbscan_d4_min_cluster_size-50,hdbscan_d64_min_cluster_size-10,hdbscan_d64_min_cluster_size-20,hdbscan_d64_min_cluster_size-50,hdbscan_d8_min_cluster_size-10,hdbscan_d8_min_cluster_size-20,hdbscan_d8_min_cluster_size-50
hdbscan_d128_min_cluster_size-10,1.0,0.5,0.058823529411764705,0.9714285714285714,0.4117647058823529,0.058823529411764705,0.9705882352941176,0.5294117647058824,0.058823529411764705,0.918918918918919,0.5294117647058824,0.058823529411764705,1.0,0.23529411764705882,0.058823529411764705,0.8717948717948718,0.14705882352941177,0.058823529411764705,0.9444444444444444,0.5588235294117647,0.08823529411764706,0.9714285714285714,0.4411764705882353,0.058823529411764705
hdbscan_d128_min_cluster_size-20,0.5,1.0,0.11764705882352941,0.4857142857142857,0.8235294117647058,0.11764705882352941,0.5151515151515151,0.9444444444444444,0.11764705882352941,0.4594594594594595,0.9444444444444444,0.11764705882352941,0.5,0.47058823529411764,0.11764705882352941,0.4358974358974359,0.29411764705882354,0.11764705882352941,0.4722222222222222,0.8947368421052632,0.17647058823529413,0.4857142857142857,0.8823529411764706,0.11764705882352941
hdbscan_d128_min_cluster_size-50,0.058823529411764705,0.11764705882352941,1.0,0.05714285714285714,0.14285714285714285,1.0,0.06060606060606061,0.1111111111111111,1.0,0.05405405405405406,0.1111111111111111,1.0,0.058823529411764705,0.25,1.0,0.05128205128205128,0.4,1.0,0.05555555555555555,0.10526315789473684,0.6666666666666666,0.05714285714285714,0.13333333333333333,1.0
hdbscan_d16_min_cluster_size-10,0.9714285714285714,0.4857142857142857,0.05714285714285714,1.0,0.4,0.05714285714285714,0.9428571428571428,0.5142857142857142,0.05714285714285714,0.9459459459459459,0.5142857142857142,0.05714285714285714,0.9714285714285714,0.22857142857142856,0.05714285714285714,0.8974358974358975,0.14285714285714285,0.05714285714285714,0.9722222222222222,0.5428571428571428,0.08571428571428572,1.0,0.42857142857142855,0.05714285714285714
hdbscan_d16_min_cluster_size-20,0.4117647058823529,0.8235294117647058,0.14285714285714285,0.4,1.0,0.14285714285714285,0.42424242424242425,0.7777777777777778,0.14285714285714285,0.3783783783783784,0.7777777777777778,0.14285714285714285,0.4117647058823529,0.5714285714285714,0.14285714285714285,0.358974358974359,0.35714285714285715,0.14285714285714285,0.3888888888888889,0.7368421052631579,0.21428571428571427,0.4,0.9333333333333333,0.14285714285714285
hdbscan_d16_min_cluster_size-50,0.058823529411764705,0.11764705882352941,1.0,0.05714285714285714,0.14285714285714285,1.0,0.06060606060606061,0.1111111111111111,1.0,0.05405405405405406,0.1111111111111111,1.0,0.058823529411764705,0.25,1.0,0.05128205128205128,0.4,1.0,0.05555555555555555,0.10526315789473684,0.6666666666666666,0.05714285714285714,0.13333333333333333,1.0
hdbscan_d256_min_cluster_size-10,0.9705882352941176,0.5151515151515151,0.06060606060606061,0.9428571428571428,0.42424242424242425,0.06060606060606061,1.0,0.5454545454545454,0.06060606060606061,0.8918918918918919,0.5454545454545454,0.06060606060606061,0.9705882352941176,0.24242424242424243,0.06060606060606061,0.8461538461538461,0.15151515151515152,0.06060606060606061,0.9166666666666666,0.5757575757575758,0.09090909090909091,0.9428571428571428,0.45454545454545453,0.06060606060606061
hdbscan_d256_min_cluster_size-20,0.5294117647058824,0.9444444444444444,0.1111111111111111,0.5142857142857142,0.7777777777777778,0.1111111111111111,0.5454545454545454,1.0,0.1111111111111111,0.4864864864864865,1.0,0.1111111111111111,0.5294117647058824,0.4444444444444444,0.1111111111111111,0.46153846153846156,0.2777777777777778,0.1111111111111111,0.5,0.9473684210526315,0.16666666666666666,0.5142857142857142,0.8333333333333334,0.1111111111111111
hdbscan_d256_min_cluster_size-50,0.058823529411764705,0.11764705882352941,1.0,0.05714285714285714,0.14285714285714285,1.0,0.06060606060606061,0.1111111111111111,1.0,0.05405405405405406,0.1111111111111111,1.0,0.058823529411764705,0.25,1.0,0.05128205128205128,0.4,1.0,0.05555555555555555,0.10526315789473684,0.6666666666666666,0.05714285714285714,0.13333333333333333,1.0
hdbscan_d2_min_cluster_size-10,0.918918918918919,0.4594594594594595,0.05405405405405406,0.9459459459459459,0.3783783783783784,0.05405405405405406,0.8918918918918919,0.4864864864864865,0.05405405405405406,1.0,0.4864864864864865,0.05405405405405406,0.918918918918919,0.21621621621621623,0.05405405405405406,0.9487179487179487,0.13513513513513514,0.05405405405405406,0.972972972972973,0.5135135135135135,0.08108108108108109,0.9459459459459459,0.40540540540540543,0.05405405405405406
hdbscan_d2_min_cluster_size-20,0.5294117647058824,0.9444444444444444,0.1111111111111111,0.5142857142857142,0.7777777777777778,0.1111111111111111,0.5454545454545454,1.0,0.1111111111111111,0.4864864864864865,1.0,0.1111111111111111,0.5294117647058824,0.4444444444444444,0.1111111111111111,0.46153846153846156,0.2777777777777778,0.1111111111111111,0.5,0.9473684210526315,0.16666666666666666,0.5142857142857142,0.8333333333333334,0.1111111111111111
hdbscan_d2_min_cluster_size-50,0.058823529411764705,0.11764705882352941,1.0,0.05714285714285714,0.14285714285714285,1.0,0.06060606060606061,0.1111111111111111,1.0,0.05405405405405406,0.1111111111111111,1.0,0.058823529411764705,0.25,1.0,0.05128205128205128,0.4,1.0,0.05555555555555555,0.10526315789473684,0.6666666666666666,0.05714285714285714,0.13333333333333333,1.0
hdbscan_d32_min_cluster_size-10,1.0,0.5,0.058823529411764705,0.9714285714285714,0.4117647058823529,0.058823529411764705,0.9705882352941176,0.5294117647058824,0.058823529411764705,0.918918918918919,0.5294117647058824,0.058823529411764705,1.0,0.23529411764705882,0.058823529411764705,0.8717948717948718,0.14705882352941177,0.058823529411764705,0.9444444444444444,0.5588235294117647,0.08823529411764706,0.9714285714285714,0.4411764705882353,0.058823529411764705
hdbscan_d32_min_cluster_size-20,0.23529411764705882,0.47058823529411764,0.25,0.22857142857142856,0.5714285714285714,0.25,0.24242424242424243,0.4444444444444444,0.25,0.21621621621621623,0.4444444444444444,0.25,0.23529411764705882,1.0,0.25,0.20512820512820512,0.625,0.25,0.2222222222222222,0.42105263157894735,0.375,0.22857142857142856,0.5333333333333333,0.25
hdbscan_d32_min_cluster_size-50,0.058823529411764705,0.11764705882352941,1.0,0.05714285714285714,0.14285714285714285,1.0,0.06060606060606061,0.1111111111111111,1.0,0.05405405405405406,0.1111111111111111,1.0,0.058823529411764705,0.25,1.0,0.05128205128205128,0.4,1.0,0.05555555555555555,0.10526315789473684,0.6666666666666666,0.05714285714285714,0.13333333333333333,1.0
hdbscan_d4_min_cluster_size-10,0.8717948717948718,0.4358974358974359,0.05128205128205128,0.8974358974358975,0.358974358974359,0.05128205128205128,0.8461538461538461,0.46153846153846156,0.05128205128205128,0.9487179487179487,0.46153846153846156,0.05128205128205128,0.8717948717948718,0.20512820512820512,0.05128205128205128,1.0,0.1282051282051282,0.05128205128205128,0.9230769230769231,0.48717948717948717,0.07692307692307693,0.8974358974358975,0.38461538461538464,0.05128205128205128
hdbscan_d4_min_cluster_size-20,0.14705882352941177,0.29411764705882354,0.4,0.14285714285714285,0.35714285714285715,0.4,0.15151515151515152,0.2777777777777778,0.4,0.13513513513513514,0.2777777777777778,0.4,0.14705882352941177,0.625,0.4,0.1282051282051282,1.0,0.4,0.1388888888888889,0.2631578947368421,0.6,0.14285714285714285,0.3333333333333333,0.4
hdbscan_d4_min_cluster_size-50,0.058823529411764705,0.11764705882352941,1.0,0.05714285714285714,0.14285714285714285,1.0,0.06060606060606061,0.1111111111111111,1.0,0.05405405405405406,0.1111111111111111,1.0,0.058823529411764705,0.25,1.0,0.05128205128205128,0.4,1.0,0.05555555555555555,0.10526315789473684,0.6666666666666666,0.05714285714285714,0.13333333333333333,1.0
hdbscan_d64_min_cluster_size-10,0.9444444444444444,0.4722222222222222,0.05555555555555555,0.9722222222222222,0.3888888888888889,0.05555555555555555,0.9166666666666666,0.5,0.05555555555555555,0.972972972972973,0.5,0.05555555555555555,0.9444444444444444,0.2222222222222222,0.05555555555555555,0.9230769230769231,0.1388888888888889,0.05555555555555555,1.0,0.5277777777777778,0.08333333333333333,0.9722222222222222,0.4166666666666667,0.05555555555555555
hdbscan_d64_min_cluster_size-20,0.5588235294117647,0.8947368421052632,0.10526315789473684,0.5428571428571428,0.7368421052631579,0.10526315789473684,0.5757575757575758,0.9473684210526315,0.10526315789473684,0.5135135135135135,0.9473684210526315,0.10526315789473684,0.5588235294117647,0.42105263157894735,0.10526315789473684,0.48717948717948717,0.2631578947368421,0.10526315789473684,0.5277777777777778,1.0,0.15789473684210525,0.5428571428571428,0.7894736842105263,0.10526315789473684
hdbscan_d64_min_cluster_size-50,0.08823529411764706,0.17647058823529413,0.6666666666666666,0.08571428571428572,0.21428571428571427,0.6666666666666666,0.09090909090909091,0.16666666666666666,0.6666666666666666,0.08108108108108109,0.16666666666666666,0.6666666666666666,0.08823529411764706,0.375,0.6666666666666666,0.07692307692307693,0.6,0.6666666666666666,0.08333333333333333,0.15789473684210525,1.0,0.08571428571428572,0.2,0.6666666666666666
hdbscan_d8_min_cluster_size-10,0.9714285714285714,0.4857142857142857,0.05714285714285714,1.0,0.4,0.05714285714285714,0.9428571428571428,0.5142857142857142,0.05714285714285714,0.9459459459459459,0.5142857142857142,0.05714285714285714,0.9714285714285714,0.22857142857142856,0.05714285714285714,0.8974358974358975,0.14285714285714285,0.05714285714285714,0.9722222222222222,0.5428571428571428,0.08571428571428572,1.0,0.42857142857142855,0.05714285714285714
hdbscan_d8_min_cluster_size-20,0.4411764705882353,0.8823529411764706,0.13333333333333333,0.42857142857142855,0.9333333333333333,0.13333333333333333,0.45454545454545453,0.8333333333333334,0.13333333333333333,0.40540540540540543,0.8333333333333334,0.13333333333333333,0.4411764705882353,0.5333333333333333,0.13333333333333333,0.38461538461538464,0.3333333333333333,0.13333333333333333,0.4166666666666667,0.7894736842105263,0.2,0.42857142857142855,1.0,0.13333333333333333
hdbscan_d8_min_cluster_size-50,0.058823529411764705,0.11764705882352941,1.0,0.05714285714285714,0.14285714285714285,1.0,0.06060606060606061,0.1111111111111111,1.0,0.05405405405405406,0.1111111111111111,1.0,0.058823529411764705,0.25,1.0,0.05128205128205128,0.4,1.0,0.05555555555555555,0.10526315789473684,0.6666666666666666,0.05714285714285714,0.13333333333333333,1.0
